epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88795.4,0.94076,0.63288,1.32699,0.82992,0.81748,0.8651,0.61732,1.05781,0.71625,1.3772,8.95832e-05,8.95832e-05,8.95832e-05
43,90865,0.92931,0.62196,1.32275,0.84145,0.81512,0.86808,0.61976,1.05672,0.70435,1.38439,8.01584e-05,8.01584e-05,8.01584e-05
44,92949,0.92156,0.61684,1.31394,0.84402,0.81806,0.8695,0.62459,1.05511,0.69558,1.38657,7.07336e-05,7.07336e-05,7.07336e-05
45,95033.9,0.9217,0.60652,1.31648,0.83654,0.83093,0.87057,0.62316,1.04886,0.67892,1.37951,6.13088e-05,6.13088e-05,6.13088e-05
46,97088.1,0.9139,0.59495,1.31287,0.83681,0.82929,0.87553,0.62607,1.05335,0.68238,1.37823,5.1884e-05,5.1884e-05,5.1884e-05
47,99715.3,0.90774,0.58473,1.30005,0.82855,0.83283,0.8719,0.62626,1.05122,0.68169,1.37955,4.24592e-05,4.24592e-05,4.24592e-05
48,101808,0.90205,0.58024,1.3053,0.8365,0.82977,0.87344,0.62748,1.05089,0.67788,1.37296,3.30344e-05,3.30344e-05,3.30344e-05
49,103897,0.90829,0.57972,1.30089,0.8353,0.83271,0.87158,0.62649,1.04751,0.67906,1.3744,2.36096e-05,2.36096e-05,2.36096e-05
50,106443,0.89426,0.57104,1.29598,0.83118,0.82799,0.87055,0.6257,1.05073,0.68263,1.37573,1.41848e-05,1.41848e-05,1.41848e-05
1,2097.66,1.23262,3.00022,1.53741,0.48792,0.54103,0.50624,0.32368,1.22773,2.52305,1.60801,0.000158276,0.000158276,0.000158276
2,4103.96,1.21051,2.07464,1.50168,0.61228,0.56248,0.59094,0.38607,1.24385,2.17099,1.62108,0.000310667,0.000310667,0.000310667
3,6688.92,1.1973,1.84664,1.48853,0.57649,0.60133,0.59928,0.38399,1.27792,1.95159,1.63394,0.000456775,0.000456775,0.000456775
4,10771.8,1.188,1.6813,1.47331,0.61868,0.67971,0.67686,0.43361,1.23849,1.61476,1.60206,0.000447726,0.000447726,0.000447726
5,15295.4,1.17167,1.54131,1.45983,0.67016,0.65864,0.69418,0.46893,1.18439,1.50913,1.55266,0.000438301,0.000438301,0.000438301
6,17706.9,1.15577,1.45594,1.43857,0.67988,0.6858,0.71693,0.48785,1.18192,1.33381,1.54312,0.000428876,0.000428876,0.000428876
7,20525.9,1.14187,1.37549,1.43161,0.7134,0.69773,0.74335,0.51073,1.16141,1.26253,1.52769,0.000419451,0.000419451,0.000419451
8,23631.1,1.14327,1.32611,1.43085,0.74403,0.7048,0.75143,0.51396,1.17316,1.19972,1.52767,0.000410026,0.000410026,0.000410026
9,26139.2,1.1182,1.24269,1.41183,0.74652,0.72329,0.78064,0.5334,1.15569,1.08193,1.51195,0.000400602,0.000400602,0.000400602
10,28333.3,1.11963,1.22246,1.40993,0.7285,0.74914,0.78676,0.54798,1.1325,1.05946,1.48755,0.000391177,0.000391177,0.000391177
